context,block_size,promotion_target,topk,fused_compact_plus_topk,fused_dense_plus_topk,candidate_fraction,qk_reduction,compact_speedup_vs_dense
16384,128,0.05,1024,0.0696320012211799,0.0593920014798641,0.71875,0.24609375,0.8529411827646695
16384,128,0.05,2048,0.0696320012211799,0.0665600001811981,0.71875,0.24609375,0.955882338779495
16384,128,0.1,512,0.0696320012211799,0.0573440007865428,0.734375,0.232421875,0.8235294086176648
16384,128,0.1,1024,0.0716800019145011,0.0593920014798641,0.734375,0.232421875,0.82857142708654
16384,128,0.1,2048,0.0727040022611618,0.0655359998345375,0.734375,0.232421875,0.9014084203937502
16384,128,0.15,512,0.0737280026078224,0.0604160018265247,0.75,0.21875,0.8194444402338207
16384,128,0.15,1024,0.0696320012211799,0.0624639987945556,0.75,0.21875,0.897058790485487
16384,128,0.15,2048,0.0675840005278587,0.0696320012211799,0.75,0.21875,1.03030304032501
16384,128,0.2,512,0.0706560015678405,0.0665600001811981,0.765625,0.205078125,0.9420289671683499
16384,128,0.2,1024,0.0696320012211799,0.0634879991412162,0.765625,0.205078125,0.9117646775589886
16384,128,0.2,2048,0.0706560015678405,0.0706560015678405,0.765625,0.205078125,1.0
32768,32,0.05,512,0.1148640029132366,0.1064959987998008,0.6142578125,0.3375244140625,0.9271485939789453
32768,32,0.05,1024,0.1147840023040771,0.1106240004301071,0.6142578125,0.3375244140625,0.9637579994557983
32768,32,0.05,2048,0.1145280003547668,0.1055679991841316,0.6142578125,0.3375244140625,0.9217658464054176
32768,32,0.1,512,0.1146880015730857,0.1054719984531402,0.634765625,0.319580078125,0.9196428310412877
32768,32,0.1,1024,0.1147200018167495,0.1057600006461143,0.634765625,0.319580078125,0.9218967832222696
32768,32,0.1,2048,0.1139520034193992,0.1054719984531402,0.634765625,0.319580078125,0.9255826601393884
32768,32,0.15,512,0.1189439967274665,0.1062079966068267,0.654296875,0.302490234375,0.892924397438725
32768,32,0.15,1024,0.1136640012264251,0.103423997759819,0.654296875,0.302490234375,0.9099098803832584
32768,32,0.15,2048,0.1126400008797645,0.1049600020051002,0.654296875,0.302490234375,0.9318181923412608
32768,32,0.2,512,0.1136640012264251,0.1054719984531402,0.6748046875,0.2845458984375,0.9279279043066065
32768,32,0.2,1024,0.1144799999892711,0.1064159981906414,0.6748046875,0.2845458984375,0.9295597327097708
32768,32,0.2,2048,0.1136640012264251,0.105359997600317,0.6748046875,0.2845458984375,0.9269425364538588
32768,64,0.05,512,0.1137280017137527,0.1054719984531402,0.61328125,0.33837890625,0.9274057124348987
32768,64,0.05,1024,0.113984003663063,0.1054719984531402,0.61328125,0.33837890625,0.9253228090225335
32768,64,0.05,2048,0.1136960014700889,0.1054719984531402,0.61328125,0.33837890625,0.927666734884144
32768,64,0.1,512,0.1187840029597282,0.1054719984531402,0.634765625,0.319580078125,0.8879309993358179
32768,64,0.1,1024,0.1239039972424507,0.1054719984531402,0.634765625,0.319580078125,0.8512396758819374
32768,64,0.1,2048,0.1187520027160644,0.1046079993247985,0.634765625,0.319580078125,0.8808946117305982
32768,64,0.15,512,0.1146880015730857,0.1057600006461143,0.654296875,0.302490234375,0.9221540108423463
32768,64,0.15,1024,0.1187840029597282,0.1054719984531402,0.654296875,0.302490234375,0.8879309993358179
32768,64,0.15,2048,0.1136640012264251,0.1053439974784851,0.654296875,0.302490234375,0.9268017696177517
32768,64,0.2,512,0.1189439967274665,0.1054719984531402,0.67578125,0.28369140625,0.8867366269422209
32768,64,0.2,1024,0.1136640012264251,0.1052959971129894,0.67578125,0.28369140625,0.926379469109431
32768,64,0.2,2048,0.1187840029597282,0.1054719984531402,0.67578125,0.28369140625,0.8879309993358179
