context,layer,method,scope,block_size,promotion_target,topk,warmup,measurements,kernel_launches,median_ms,p5_ms,p95_ms,mean_ms,std_ms
8192,17,two_pass_kernel,kernel,128,0.2,512,50,500,4,0.061439998447895,0.0604160018265247,0.0643839985132217,0.06212460745126,0.0022269415932341
8192,17,two_pass_plus_topk,indexer_topk,128,0.2,512,50,500,5,0.089088000357151,0.0860159993171691,0.0951712019741535,0.0897374083399772,0.0049225148141123
8192,17,two_pass_kernel,kernel,128,0.2,1024,50,500,4,0.0615039989352226,0.0604160018265247,0.0645119994878768,0.0621887995749712,0.0024398417015021
8192,17,two_pass_plus_topk,indexer_topk,128,0.2,1024,50,500,5,0.0880640000104904,0.0840943995863199,0.0952320024371147,0.0894223363101482,0.0042137414426766
8192,17,two_pass_kernel,kernel,128,0.2,2048,50,500,4,0.061439998447895,0.0604160018265247,0.0645119994878768,0.0621741435527801,0.0036748115358058
8192,17,two_pass_plus_topk,indexer_topk,128,0.2,2048,50,500,5,0.0890560001134872,0.0849919989705085,0.0942080020904541,0.0888091520369052,0.0031891730714631
16384,17,two_pass_kernel,kernel,32,0.05,512,50,500,4,0.0604160018265247,0.0579999985173344,0.0626255996525287,0.0611218560859561,0.0099112921326855
16384,17,two_pass_plus_topk,indexer_topk,32,0.05,512,50,500,5,0.089088000357151,0.0737280026078224,0.1023999974131584,0.0888856960833072,0.0112952791451362
16384,17,two_pass_kernel,kernel,32,0.05,1024,50,500,4,0.0601279996335506,0.0583984013646841,0.063494399189949,0.0605100164636969,0.0027592851426102
16384,17,two_pass_plus_topk,indexer_topk,32,0.05,1024,50,500,5,0.0931840017437934,0.0727040022611618,0.0993279963731765,0.0886276495754718,0.0110770694198977
16384,17,two_pass_kernel,kernel,32,0.05,2048,50,500,4,0.0604160018265247,0.0583680011332035,0.0634879991412162,0.0606346883624792,0.0024065068209642
16384,17,two_pass_plus_topk,indexer_topk,32,0.05,2048,50,500,5,0.0921600013971328,0.0808959975838661,0.0952320024371147,0.0899893765300512,0.0057656543817809
16384,17,two_pass_kernel,kernel,32,0.1,512,50,500,4,0.0615039989352226,0.0603808015584945,0.0686080008745193,0.0624557435512542,0.0029979630728253
16384,17,two_pass_plus_topk,indexer_topk,32,0.1,512,50,500,5,0.0849919989705085,0.074752002954483,0.1054719984531402,0.0893235196620226,0.0148237272236641
16384,17,two_pass_kernel,kernel,32,0.1,1024,50,500,4,0.061439998447895,0.0593920014798641,0.0634879991412162,0.0615787519142031,0.002267683119847
16384,17,two_pass_plus_topk,indexer_topk,32,0.1,1024,50,500,5,0.0911360010504722,0.0819199979305267,0.0963984034955501,0.0898638722896575,0.0063868608592838
16384,17,two_pass_kernel,kernel,32,0.1,2048,50,500,4,0.061439998447895,0.0593920014798641,0.0635215993970632,0.0615570558756589,0.0025135938882626
16384,17,two_pass_plus_topk,indexer_topk,32,0.1,2048,50,500,5,0.0921600013971328,0.0788479968905448,0.0972800031304359,0.0898098564147949,0.0076892954545642
16384,17,two_pass_kernel,kernel,32,0.15,512,50,500,4,0.061439998447895,0.0594543984159827,0.0645119994878768,0.0616869757771492,0.0023647228101147
16384,17,two_pass_plus_topk,indexer_topk,32,0.15,512,50,500,5,0.0798719972372055,0.0757760033011436,0.1095679998397827,0.0889859832674264,0.0148016046738346
16384,17,two_pass_kernel,kernel,32,0.15,1024,50,500,4,0.061439998447895,0.0594559982419014,0.0634911991655826,0.0615331837758421,0.0022682243531407
16384,17,two_pass_plus_topk,indexer_topk,32,0.15,1024,50,500,5,0.0911360010504722,0.0829439982771873,0.0952320024371147,0.0899113604426384,0.0054790914347817
16384,17,two_pass_kernel,kernel,32,0.15,2048,50,500,4,0.0622400008141994,0.0604160018265247,0.0647088006138801,0.0624262393787503,0.0024094202371879
16384,17,two_pass_plus_topk,indexer_topk,32,0.15,2048,50,500,5,0.0861440002918243,0.0819199979305267,0.1013455968350172,0.0900792949497699,0.0080650508248867
16384,17,two_pass_kernel,kernel,32,0.2,512,50,500,4,0.0606079995632171,0.0593920014798641,0.0642559975385665,0.0612896640375256,0.0023239699390435
16384,17,two_pass_plus_topk,indexer_topk,32,0.2,512,50,500,5,0.0921600013971328,0.0757760033011436,0.0992672029882669,0.0891993614286184,0.009078171943884
16384,17,two_pass_kernel,kernel,32,0.2,1024,50,500,4,0.061439998447895,0.0593920014798641,0.0645119994878768,0.0616081279590725,0.0026323668973352
16384,17,two_pass_plus_topk,indexer_topk,32,0.2,1024,50,500,5,0.0880640000104904,0.0849599987268447,0.0983040034770965,0.0904981123954057,0.0060808799274729
