policy,policy_role,rescue,rescue_blocks,missed_blocks,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,top128_recall,top512_recall,top2048_recall
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,14,7,2,code_heldout_3,long-code,16384,16392,0.9999968409538269,0.0025256171356886625,0.00048828125,1.0,1.0,0.9921875
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,14,7,2,code_heldout_3,long-code,16384,16392,0.9999969005584717,0.0024873355869203806,0.0006103515625,1.0,1.0,0.994140625
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,14,7,2,code_heldout_3,long-code,16384,16392,0.9999967813491821,0.0025444866623729467,0.0006103515625,1.0,1.0,0.99658203125
streak2_bucket8_m-0.75_refresh8,Balanced,all,14,14,7,2,code_heldout_3,long-code,16384,16392,0.9999999403953552,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,6,7,2,code_heldout_3,long-code,16384,16392,0.9999969005584717,0.0025022667832672596,0.00048828125,1.0,1.0,0.99609375
streak2_bucket8_m0,Aggressive,best1,1,6,7,2,code_heldout_3,long-code,16384,16392,0.9999969005584717,0.0024823760613799095,0.00048828125,1.0,1.0,0.9970703125
streak2_bucket8_m0,Aggressive,best2,2,6,7,2,code_heldout_3,long-code,16384,16392,0.9999967217445374,0.0025805651675909758,0.0006103515625,1.0,1.0,0.99755859375
streak2_bucket8_m0,Aggressive,best4,4,6,7,2,code_heldout_3,long-code,16384,16392,0.9999996423721313,0.0008721192716620862,0.00048828125,1.0,1.0,0.9990234375
streak2_bucket8_m0,Aggressive,best8,6,6,7,2,code_heldout_3,long-code,16384,16392,0.9999999403953552,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,all,6,6,7,2,code_heldout_3,long-code,16384,16392,0.9999999403953552,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,0,8,2,code_heldout_3,long-code,16384,16393,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,best1,0,0,8,2,code_heldout_3,long-code,16384,16393,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,best2,0,0,8,2,code_heldout_3,long-code,16384,16393,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,best4,0,0,8,2,code_heldout_3,long-code,16384,16393,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,best8,0,0,8,2,code_heldout_3,long-code,16384,16393,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,all,0,0,8,2,code_heldout_3,long-code,16384,16393,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,23,8,2,code_heldout_3,long-code,16384,16393,0.9999746084213257,0.007133044768124819,0.001953125,1.0,0.994140625,0.9716796875
streak2_bucket8_m0,Aggressive,best1,1,23,8,2,code_heldout_3,long-code,16384,16393,0.9999754428863525,0.007006678730249405,0.001953125,1.0,0.998046875,0.9755859375
streak2_bucket8_m0,Aggressive,best2,2,23,8,2,code_heldout_3,long-code,16384,16393,0.9999758005142212,0.006949467584490776,0.001953125,1.0,0.998046875,0.9765625
streak2_bucket8_m0,Aggressive,best4,4,23,8,2,code_heldout_3,long-code,16384,16393,0.9999765157699585,0.006858296226710081,0.001953125,1.0,0.998046875,0.9794921875
streak2_bucket8_m0,Aggressive,best8,8,23,8,2,code_heldout_3,long-code,16384,16393,0.9999869465827942,0.005104293581098318,0.001953125,1.0,0.998046875,0.98779296875
streak2_bucket8_m0,Aggressive,all,23,23,8,2,code_heldout_3,long-code,16384,16393,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,9,9,2,code_heldout_3,long-code,16384,16394,0.9957334399223328,0.09227687120437622,0.015625,1.0,1.0,0.9931640625
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,9,9,2,code_heldout_3,long-code,16384,16394,0.995734453201294,0.09226593375205994,0.015625,1.0,1.0,0.99365234375
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,9,9,2,code_heldout_3,long-code,16384,16394,0.9957259893417358,0.09235747903585434,0.01513671875,1.0,1.0,0.994140625
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,9,9,2,code_heldout_3,long-code,16384,16394,0.9957276582717896,0.09234010428190231,0.01513671875,1.0,1.0,0.9951171875
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,9,9,2,code_heldout_3,long-code,16384,16394,0.9957311153411865,0.09230166673660278,0.0146484375,1.0,1.0,0.998046875
streak2_bucket8_m-0.75_refresh8,Balanced,all,9,9,9,2,code_heldout_3,long-code,16384,16394,0.9999999403953552,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,19,9,2,code_heldout_3,long-code,16384,16394,0.9957278966903687,0.09233658760786057,0.01611328125,1.0,1.0,0.97998046875
streak2_bucket8_m0,Aggressive,best1,1,19,9,2,code_heldout_3,long-code,16384,16394,0.9957339763641357,0.09227137267589569,0.015625,1.0,1.0,0.98046875
streak2_bucket8_m0,Aggressive,best2,2,19,9,2,code_heldout_3,long-code,16384,16394,0.9957355856895447,0.09225467592477798,0.015625,1.0,1.0,0.9814453125
streak2_bucket8_m0,Aggressive,best4,4,19,9,2,code_heldout_3,long-code,16384,16394,0.9957345724105835,0.09226595610380173,0.015625,1.0,1.0,0.98486328125
streak2_bucket8_m0,Aggressive,best8,8,19,9,2,code_heldout_3,long-code,16384,16394,0.995738685131073,0.09222090989351273,0.015625,1.0,1.0,0.98779296875
streak2_bucket8_m0,Aggressive,all,19,19,9,2,code_heldout_3,long-code,16384,16394,0.9999999403953552,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,20,10,2,code_heldout_3,long-code,16384,16395,0.9999964237213135,0.0026845023967325687,0.0009765625,1.0,1.0,0.97705078125
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,20,10,2,code_heldout_3,long-code,16384,16395,0.9999973177909851,0.0023011802695691586,0.00048828125,1.0,1.0,0.9775390625
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,20,10,2,code_heldout_3,long-code,16384,16395,0.9999974370002747,0.0022617713548243046,0.00048828125,1.0,1.0,0.97802734375
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,20,10,2,code_heldout_3,long-code,16384,16395,0.9999972581863403,0.002350102411583066,0.00048828125,1.0,1.0,0.9794921875
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,20,10,2,code_heldout_3,long-code,16384,16395,0.9999984502792358,0.001747608883306384,0.00048828125,1.0,1.0,0.98583984375
streak2_bucket8_m-0.75_refresh8,Balanced,all,20,20,10,2,code_heldout_3,long-code,16384,16395,0.9999998807907104,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,9,10,2,code_heldout_3,long-code,16384,16395,0.999997615814209,0.002156284172087908,0.0009765625,1.0,1.0,0.986328125
streak2_bucket8_m0,Aggressive,best1,1,9,10,2,code_heldout_3,long-code,16384,16395,0.9999984502792358,0.0017641782760620117,0.00048828125,1.0,1.0,0.98681640625
streak2_bucket8_m0,Aggressive,best2,2,9,10,2,code_heldout_3,long-code,16384,16395,0.9999983310699463,0.0018319396767765284,0.00048828125,1.0,1.0,0.98779296875
streak2_bucket8_m0,Aggressive,best4,4,9,10,2,code_heldout_3,long-code,16384,16395,0.9999959468841553,0.00287586054764688,0.0009765625,1.0,1.0,0.99072265625
streak2_bucket8_m0,Aggressive,best8,8,9,10,2,code_heldout_3,long-code,16384,16395,0.9999990463256836,0.0013479318004101515,0.00048828125,1.0,1.0,0.99951171875
streak2_bucket8_m0,Aggressive,all,9,9,10,2,code_heldout_3,long-code,16384,16395,0.9999998807907104,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,28,11,2,code_heldout_3,long-code,16384,16396,0.999985933303833,0.005346689373254776,0.0009765625,1.0,1.0,0.98193359375
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,28,11,2,code_heldout_3,long-code,16384,16396,0.9999873042106628,0.005056170746684074,0.0009765625,1.0,1.0,0.98291015625
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,28,11,2,code_heldout_3,long-code,16384,16396,0.9999873042106628,0.005061178468167782,0.0009765625,1.0,1.0,0.984375
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,28,11,2,code_heldout_3,long-code,16384,16396,0.9999880790710449,0.0049337781965732574,0.0009765625,1.0,1.0,0.9853515625
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,28,11,2,code_heldout_3,long-code,16384,16396,0.9999929666519165,0.003761469852179289,0.0009765625,1.0,1.0,0.9873046875
streak2_bucket8_m-0.75_refresh8,Balanced,all,28,28,11,2,code_heldout_3,long-code,16384,16396,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,24,11,2,code_heldout_3,long-code,16384,16396,0.9999865293502808,0.005235293414443731,0.0009765625,1.0,1.0,0.984375
streak2_bucket8_m0,Aggressive,best1,1,24,11,2,code_heldout_3,long-code,16384,16396,0.9999875426292419,0.00502315117046237,0.0009765625,1.0,1.0,0.9853515625
streak2_bucket8_m0,Aggressive,best2,2,24,11,2,code_heldout_3,long-code,16384,16396,0.9999879598617554,0.004941351246088743,0.0009765625,1.0,1.0,0.98583984375
streak2_bucket8_m0,Aggressive,best4,4,24,11,2,code_heldout_3,long-code,16384,16396,0.9999881386756897,0.0049064368940889835,0.0009765625,1.0,1.0,0.98681640625
streak2_bucket8_m0,Aggressive,best8,8,24,11,2,code_heldout_3,long-code,16384,16396,0.9999932646751404,0.003685703733935952,0.0009765625,1.0,1.0,0.98876953125
streak2_bucket8_m0,Aggressive,all,24,24,11,2,code_heldout_3,long-code,16384,16396,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,17,12,2,code_heldout_3,long-code,16384,16397,0.9999867081642151,0.00518354307860136,0.001953125,1.0,1.0,0.9873046875
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,17,12,2,code_heldout_3,long-code,16384,16397,0.9999901652336121,0.004436451941728592,0.001953125,1.0,1.0,0.9892578125
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,17,12,2,code_heldout_3,long-code,16384,16397,0.9999906420707703,0.004332479555159807,0.001953125,1.0,1.0,0.98974609375
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,17,12,2,code_heldout_3,long-code,16384,16397,0.9999911785125732,0.004222082439810038,0.001953125,1.0,1.0,0.9912109375
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,17,12,2,code_heldout_3,long-code,16384,16397,0.9999982714653015,0.0018423323053866625,0.00048828125,1.0,1.0,0.99462890625
streak2_bucket8_m-0.75_refresh8,Balanced,all,17,17,12,2,code_heldout_3,long-code,16384,16397,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,16,12,2,code_heldout_3,long-code,16384,16397,0.9999872446060181,0.005070674233138561,0.001953125,1.0,1.0,0.986328125
streak2_bucket8_m0,Aggressive,best1,1,16,12,2,code_heldout_3,long-code,16384,16397,0.999988317489624,0.004834161605685949,0.001953125,1.0,1.0,0.98828125
streak2_bucket8_m0,Aggressive,best2,2,16,12,2,code_heldout_3,long-code,16384,16397,0.9999884963035583,0.00478278798982501,0.001953125,1.0,1.0,0.98876953125
streak2_bucket8_m0,Aggressive,best4,4,16,12,2,code_heldout_3,long-code,16384,16397,0.9999905824661255,0.0043477886356413364,0.001953125,1.0,1.0,0.98974609375
streak2_bucket8_m0,Aggressive,best8,8,16,12,2,code_heldout_3,long-code,16384,16397,0.9999983310699463,0.0018459224374964833,0.00048828125,1.0,1.0,0.994140625
streak2_bucket8_m0,Aggressive,all,16,16,12,2,code_heldout_3,long-code,16384,16397,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,35,13,2,code_heldout_3,long-code,16384,16398,0.9999954700469971,0.0031279423274099827,0.0009765625,1.0,1.0,0.97021484375
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,35,13,2,code_heldout_3,long-code,16384,16398,0.9999961853027344,0.0027987598441541195,0.0009765625,1.0,1.0,0.97119140625
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,35,13,2,code_heldout_3,long-code,16384,16398,0.9999971389770508,0.0024247898254543543,0.00048828125,1.0,1.0,0.9736328125
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,35,13,2,code_heldout_3,long-code,16384,16398,0.9999973773956299,0.002324724104255438,0.00048828125,1.0,1.0,0.97607421875
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,35,13,2,code_heldout_3,long-code,16384,16398,0.9999976754188538,0.00220201606862247,0.00048828125,1.0,1.0,0.97998046875
streak2_bucket8_m-0.75_refresh8,Balanced,all,35,35,13,2,code_heldout_3,long-code,16384,16398,1.000000238418579,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,32,13,2,code_heldout_3,long-code,16384,16398,0.9999954700469971,0.0031249686144292355,0.0009765625,1.0,1.0,0.9716796875
