split,scope,method,base_context_length,layer,workload,observations,qk_reduction,top2048_recall,top128_recall,top512_recall,weighted_recall,teacher_attention_mass_ratio
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,5,long-code,254,0.4274572666884065,0.9886964812992126,0.9999692421259843,0.999761626476378,0.9961120884319878,0.9989757498722515
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,5,long-text,254,0.31862526829382665,0.9885561484990157,0.9996924212598425,0.9987543061023622,0.9945674114097316,0.9972710461813584
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,8,long-code,254,0.499091664928058,0.9932986281988189,1.0,0.9998308316929134,0.9977806722108894,0.9985091203932069
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,8,long-text,254,0.4394246725290215,0.9825006920521654,0.9988927165354331,0.99681656003937,0.9899511734330426,0.9919486458123429
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,11,long-code,254,0.31779826886342816,0.9942232867864174,1.0,0.9999615526574803,0.9979786650280792,0.9997794411254307
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,11,long-text,254,0.21035421341462987,0.9923278328001969,0.9999384842519685,0.9998231422244095,0.9969148998933008,0.9992614201513331
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,14,long-code,254,0.24989256734091098,0.9916857621801181,0.999876968503937,0.9995232529527559,0.996403236983216,0.9995318432817089
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,14,long-text,254,0.18833902139581712,0.989994079109252,1.0,0.9993233267716536,0.9945994877880043,0.9999723487242831
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,17,long-code,254,0.16695764287787146,0.9807859405757874,0.9999384842519685,0.999753937007874,0.9952659401474188,0.9994955072091588
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,17,long-text,254,0.09162736232539224,0.9893212506151575,1.0,0.999507874015748,0.9956472670472286,0.9994993332147161
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,21,long-code,254,0.090019282288756,0.9837906003937008,1.0,0.9999923105314961,0.9968976005742564,0.9996624414972664
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,21,long-text,254,0.12414657932764396,0.9880044291338582,1.0,0.9996847317913385,0.994169216816948,0.998532355350114
