policy,layer,base_context_length,workload,qk_reduction,recall,top128_recall,top512_recall,top2048_recall,index_mass_ratio,newly_hot_miss_rate
dynamic_address_m-3,2,16384,long-text,0.6254324734446131,0.8655829642388452,0.9853182414698164,0.9487932660761156,0.8655829642388452,0.9751633595752244,0.2404298373004007
dynamic_address_m-3,2,32768,long-code,0.8384109188398733,0.7648598978838582,0.9519972112860892,0.8922500410104987,0.7648598978838582,0.9412408566968168,0.3720915340774179
dynamic_address_m-3,2,32768,long-text,0.8185887870390108,0.7760365403543307,0.9530839895013123,0.8900047162073491,0.7760365403543307,0.9354257635901934,0.348038029761466
dynamic_address_m-3,5,8192,long-code,0.4877222692633362,0.9236499856463256,0.999630905511811,0.993048720472441,0.9236499856463256,0.9964430686288748,0.2033944858605995
dynamic_address_m-3,5,8192,long-text,0.3403021148036254,0.9374051632217848,0.9992002952755904,0.9907726377952756,0.9374051632217848,0.9956106196985718,0.1541358119966251
dynamic_address_m-3,5,16384,long-code,0.7317399501307547,0.8763161806922573,0.9927206364829396,0.973368807414698,0.8763161806922573,0.9749707644032304,0.2716423435412189
dynamic_address_m-3,5,16384,long-text,0.6763026843192033,0.8807735092683727,0.9930077099737532,0.9717745242782152,0.8807735092683727,0.9718495530797442,0.2444031598498503
dynamic_address_m-3,5,32768,long-code,0.85008377760853,0.7773680999835958,0.958497375328084,0.9062807578740156,0.7773680999835958,0.9280231413674518,0.3656573938533534
dynamic_address_m-3,5,32768,long-text,0.8171872619229011,0.7750843278379265,0.9584768700787402,0.9038611384514436,0.7750843278379265,0.9267712116898236,0.3672783564227198
dynamic_address_m-3,8,8192,long-code,0.4107532090094453,0.91307952960958,0.99973343175853,0.9913365321522308,0.91307952960958,0.9960307838484276,0.2043603631362673
dynamic_address_m-3,8,8192,long-text,0.287378640776699,0.9332592581200788,0.9995488845144356,0.990347153871391,0.9332592581200788,0.9954557963940198,0.1514366690751072
dynamic_address_m-3,8,16384,long-code,0.7504708670028556,0.9060526369750656,0.996206528871391,0.9837803477690288,0.9060526369750656,0.9793665308128852,0.218105784077919
dynamic_address_m-3,8,16384,long-text,0.7318734793187348,0.8927729248687664,0.9921054790026248,0.9764651000656168,0.8927729248687664,0.9723700569228656,0.23929674512237
dynamic_address_m-3,8,32768,long-code,0.840181535743657,0.7248797879757218,0.9200090223097112,0.8583446112204725,0.7248797879757218,0.8874640460972549,0.4031517313400415
dynamic_address_m-3,8,32768,long-text,0.8055589418505424,0.7497757238353019,0.925791502624672,0.870488845144357,0.7497757238353019,0.9078794733187788,0.3698577189500449
dynamic_address_m-3,11,8192,long-code,0.4030031484620974,0.9113391465715224,0.9981750328083988,0.9871944717847768,0.9113391465715224,0.992521053182698,0.2062095278066106
dynamic_address_m-3,11,8192,long-text,0.2878327458368785,0.9410550976049868,0.9997949475065616,0.996591002296588,0.9410550976049868,0.995837684678482,0.1543084465332272
dynamic_address_m-3,11,16384,long-code,0.6662608060392061,0.8761303518700787,0.9937253937007874,0.973025344488189,0.8761303518700787,0.9718388136584574,0.2536542399959206
