policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w4_b64_r0.05,head,4,0.05,1152,0.38294775067474357,0.37731707878222903,0.5529263462474174,0.021701388888888888,0.9715499877929688,0.9978366427951388,0.9961039225260416,0.9923621283637153,0.9851006401909722,0.9715499877929688,0.9942714452212008,0.13336173838943333,0.11001393200205313,,0.31229446043574316,0.33880973124041447,0.022511226848326717,4184080384.0,0.0,217972736.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w4_b64_r0.1,head,4,0.1,1152,0.31131930882193715,0.3268442155126394,0.5702318259856433,0.1423611111111111,0.98039796617296,0.99896240234375,0.9978705512152778,0.9954240587022569,0.9903377956814237,0.98039796617296,0.9962892236883284,0.2381430901273413,0.2041889647536446,,0.38992547073395806,0.390938864584476,0.03797162069327269,3604545536.0,0.0,367673344.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w4_b64_r0.1,head,4,0.1,1152,0.34023387900071095,0.333922589540976,0.5589144821670805,0.025173611111111112,0.9792895846896701,0.99853515625,0.9973619249131944,0.9947475857204862,0.9894095526801215,0.9792895846896701,0.9959571084011716,0.22154601070609228,0.19514338439907436,,0.2872102954389336,0.27629513861724475,0.04157233406768935,3940171776.0,0.0,402538496.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.01,head,8,0.01,1152,0.3368650922583625,0.35280126039914234,0.5840063360681194,0.140625,0.9725312127007378,0.9987928602430556,0.9975382486979166,0.9942203097873263,0.9869867960611979,0.9725312127007378,0.994826641173865,0.10461597977313862,0.06639833670967055,,0.7399241168054965,0.9016203703703702,0.004764853788701747,3776970752.0,0.0,46137344.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.01,head,8,0.01,1152,0.3938591912840732,0.3808010674765636,0.5520125977714422,0.020833333333333332,0.9656045701768663,0.9984130859375,0.9966668023003472,0.992218017578125,0.9831958346896701,0.9656045701768663,0.9933981831038786,0.10005434119617172,0.062853456617568,,0.7078447119226232,0.8836082175925926,0.005585505098190506,4416307200.0,0.0,54083584.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.02,head,8,0.02,1152,0.3263845849710474,0.3410503035272027,0.5890808099045546,0.140625,0.9768553839789497,0.9991929796006944,0.9982571072048612,0.9956698947482638,0.9896486070421007,0.9768553839789497,0.9958536082757179,0.1750139751318195,0.12051604782882316,,0.7299864546064545,0.8647631448412698,0.008497548198458868,3702407168.0,0.0,82280448.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.02,head,8,0.02,1152,0.3717773027305211,0.3591284061767296,0.5684111060127017,0.024305555555555556,0.9739714728461372,0.9991726345486112,0.9980197482638888,0.9949662950303819,0.988144768608941,0.9739714728461372,0.9953398046830222,0.17304299815510576,0.11876227403192507,,0.6856141008581991,0.8307725694444444,0.00961938699885278,4216782848.0,0.0,93143040.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.05,head,8,0.05,1152,0.30115551481525027,0.31493951703574924,0.5980372455818925,0.1440972222222222,0.984954833984375,0.9997355143229166,0.9993387858072916,0.9979994032118056,0.994126213921441,0.984954833984375,0.9976187180056458,0.34978293125240423,0.2702404809619238,,0.7113839940372934,0.7643039676798102,0.01907971992947475,3540582400.0,0.0,184745984.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.05,head,8,0.05,1152,0.3296480199184279,0.31852691681254297,0.5939142889618925,0.041666666666666664,0.9853939480251737,0.9997897677951388,0.9993726942274306,0.9980434841579862,0.9943330552842882,0.9853939480251737,0.9977115982357875,0.3543189057522953,0.2788215342666179,,0.6500914938068624,0.6856227473931978,0.020974832231799308,3876634624.0,0.0,203096064.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1152,0.27010883874802233,0.2779729715850303,0.6026163110840748,0.1736111111111111,0.9914872911241319,0.99993896484375,0.9998135036892362,0.9992387559678819,0.9972763061523438,0.9914872911241319,0.9988262401713723,0.5545105693942284,0.47131807295143113,,0.6932406135958679,0.6417191565654105,0.03566026051025899,3380822016.0,0.0,345292800.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1152,0.2885747944936793,0.27549185000785253,0.6054288223802329,0.11024305555555555,0.9923515319824219,0.9999593098958334,0.9998440212673612,0.9993252224392362,0.9975975884331597,0.9923515319824219,0.9989581208044134,0.5622907873671955,0.48456880350803927,,0.6269645754465603,0.5283117983055805,0.0381594398589495,3612688384.0,0.0,369491968.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w8_b64_r0.01,head,8,0.01,1152,0.34139006144845063,0.35942453193798984,0.5764442917385839,0.140625,0.9688703748914931,0.9979722764756944,0.9960394965277778,0.9920654296875,0.9840918646918403,0.9688703748914931,0.9937171601843973,0.04935475102579701,0.03417357041826632,,0.4295679895064539,0.5340711805555556,0.00482915224181633,3827712000.0,0.0,46759936.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w8_b64_r0.01,head,8,0.01,1152,0.4062148371981338,0.39871365117602114,0.5315414662711091,0.021701388888888888,0.9568612840440538,0.9962090386284722,0.9932115342881944,0.9872639973958334,0.9763709174262153,0.9568612840440538,0.9907493038445642,0.046844416973374915,0.03163251792572412,,0.36772242847244185,0.4763454861111111,0.005795321103090725,4555259904.0,0.0,56115200.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w8_b64_r0.02,head,8,0.02,1152,0.3339780179952756,0.3523025315871975,0.5762117829239306,0.140625,0.9711278279622396,0.9981418185763888,0.9964430067274306,0.9927656385633681,0.9853778415256076,0.9711278279622396,0.9942558288933883,0.07856505153802451,0.058600788655890114,,0.42096772736409144,0.5031239666005292,0.008673522912246148,3788308480.0,0.0,83984384.0
