policy_role,verifier,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,output_norm_ratio,preprojection_cosine,preprojection_relative_l2,per_head_relative_l2_mean,per_head_relative_l2_worst,attention_js,attention_kl_eps1e8,net_qk_reduction,physical_key_byte_reduction,top128_recall,top512_recall,top2048_recall,tail_critical_block_recall
Aggressive,head_dynamic_abs_w8_b64_r0.1,3,8,code_heldout_3,long-code,32768,32772,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2365314105977632e-08,1.1913425623788498e-05,0.4220676186988893,-0.0548250373111598,1.0,1.0,0.99951171875,0.25
Balanced,dim_had_even_w16_b64_r0.05,3,8,code_heldout_3,long-code,32768,32772,0.9999953508377075,0.003091223770752549,0.00244140625,1.0001411437988281,0.9999983906745911,0.001808835077099502,0.0012676555197685957,0.010425684042274952,0.00016609269368927926,0.003961321897804737,0.469669229830343,0.4685667755543372,1.0,0.998046875,0.99267578125,0.0
Balanced,dim_had_even_w16_b64_r0.1,3,8,code_heldout_3,long-code,32768,32772,0.9999952912330627,0.0030818425584584475,0.00244140625,1.0001397132873535,0.9999983906745911,0.0018071841914206743,0.0012559366878122091,0.010442400351166725,0.0001562873221701011,0.0037321308627724648,0.4403759306725253,0.4393270094724658,1.0,0.998046875,0.9931640625,0.25
Balanced,dim_had_random_w32_b64_r0.05,3,8,code_heldout_3,long-code,32768,32772,0.9999977350234985,0.002170307096093893,0.001953125,0.9999479055404663,0.9999995827674866,0.0009739643428474665,0.0006761107943020761,0.0033449954353272915,5.945893644820899e-05,0.0010922657093033195,0.3925302087147565,0.391568724872076,1.0,1.0,0.9951171875,0.0
Balanced,dim_had_random_w32_b64_r0.1,3,8,code_heldout_3,long-code,32768,32772,0.9999998807907104,0.0006761411787010729,0.001953125,0.9999789595603943,1.0,7.406332588288933e-05,4.6248213038779795e-05,0.0004186014411970973,1.7570922636878095e-06,1.710364995233249e-05,0.3593311363358965,0.3584303233126218,1.0,1.0,0.99658203125,0.25
Balanced,head_dynamic_abs_w16_b64_r0.05,3,8,code_heldout_3,long-code,32768,32772,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1872005416080356e-05,0.3852068839253021,-0.0294839067068712,1.0,1.0,1.0,0.5
Balanced,head_dynamic_abs_w16_b64_r0.1,3,8,code_heldout_3,long-code,32768,32772,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1872005416080356e-05,0.3510313682411815,-0.0548250373111598,1.0,1.0,1.0,0.25
Balanced,head_dynamic_abs_w8_b64_r0.05,3,8,code_heldout_3,long-code,32768,32772,1.0,0.0001923867966979742,0.0009765625,1.0000083446502686,1.0,1.0834406793946982e-06,4.599135934313381e-07,7.358617494901409e-06,5.599898500463496e-08,1.2088502444385085e-05,0.4577077993409008,-0.0294839067068712,1.0,1.0,0.9990234375,0.5
Balanced,head_dynamic_abs_w8_b64_r0.1,3,8,code_heldout_3,long-code,32768,32772,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2365314105977632e-08,1.1913425623788498e-05,0.4220676186988893,-0.0548250373111598,1.0,1.0,0.99951171875,0.25
Aggressive,dim_had_even_w16_b64_r0.05,4,8,code_heldout_3,long-code,32768,32773,0.9999991655349731,0.0013192753540351987,0.001953125,0.9999571442604065,0.9999998807907104,0.0003689162549562752,0.00025216315407305956,0.0020864277612417936,5.460108695842791e-06,0.0001036879257299006,0.4830805846275897,0.4819683350085283,1.0,1.0,0.9970703125,0.0
Aggressive,dim_had_even_w16_b64_r0.1,4,8,code_heldout_3,long-code,32768,32773,0.9999991655349731,0.0013192753540351987,0.001953125,0.9999571442604065,0.9999998807907104,0.0003689162549562752,0.00025216315407305956,0.0020864277612417936,5.460108695842791e-06,0.0001036879257299006,0.4523235590272481,0.4512665806225633,1.0,1.0,0.9970703125,0.0
Aggressive,dim_had_random_w32_b64_r0.05,4,8,code_heldout_3,long-code,32768,32773,0.9999996423721313,0.0009256976190954447,0.001953125,1.0000226497650146,1.0,0.00020550658518914133,0.00014485570136457682,0.0010307269403710961,8.881555686457432e-07,1.5337926015490666e-05,0.4086290544045403,0.4076505962171053,1.0,1.0,0.99853515625,0.25
Aggressive,dim_had_random_w32_b64_r0.1,4,8,code_heldout_3,long-code,32768,32773,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.806288783105629e-09,1.2696309568127617e-05,0.3720135477374668,0.3711008886147661,1.0,1.0,0.99951171875,0.5
Aggressive,head_dynamic_abs_w16_b64_r0.05,4,8,code_heldout_3,long-code,32768,32773,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2681202861131169e-05,0.3866597504042962,-0.0294839067068712,1.0,1.0,1.0,0.25
Aggressive,head_dynamic_abs_w16_b64_r0.1,4,8,code_heldout_3,long-code,32768,32773,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2681202861131169e-05,0.3451621761816129,-0.0548250373111598,1.0,1.0,1.0,0.25
Aggressive,head_dynamic_abs_w8_b64_r0.05,4,8,code_heldout_3,long-code,32768,32773,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2681202861131169e-05,0.4645287279162725,-0.0294839067068712,1.0,1.0,1.0,0.25
Aggressive,head_dynamic_abs_w8_b64_r0.1,4,8,code_heldout_3,long-code,32768,32773,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2681202861131169e-05,0.4237634638269307,-0.0548250373111598,1.0,1.0,1.0,0.25
Balanced,dim_had_even_w16_b64_r0.05,4,8,code_heldout_3,long-code,32768,32773,0.9999990463256836,0.0014213921967893839,0.001953125,0.9999491572380066,0.9999998807907104,0.0003686122363433242,0.00023782734933774918,0.0022734184749424458,6.264741386985406e-06,0.00011116464156657457,0.5087114392945412,0.5075531303301657,1.0,1.0,0.9931640625,0.0
